ID,Game,Tournament,Region,WinningTeam,MVP,PrizePool(USD),PeakViewers,Duration(Days),Year,MapsPlayed,MapsWon,Kills,K/D Ratio,WinRate(%)
667,Dota 2,The International 2024,SA,FaZe Clan,Keria,35239668,4636131,5,2023,4,1,220,1.28,25
668,PUBG Mobile,Valorant Champions 2024,NA,Team Liquid,s1mple,28983782,3845121,5,2023,3,2,56,1.39,66.67
669,Counter-Strike 2,PUBG Mobile World Cup 2025,EU,Vitality,Derke,9405870,4247056,3,2023,7,5,137,1.04,71.43
670,Counter-Strike 2,BLAST Premier World Final 2024,SA,G2 Esports,ShowMaker,38030080,696366,13,2023,7,1,260,0.85,14.29
671,Counter-Strike 2,The International 2024,ASIA,Vitality,s1mple,32505165,1881506,3,2024,5,4,248,0.88,80
672,PUBG Mobile,Valorant Champions 2025,NA,Fnatic,Faker,23443770,1033148,11,2023,3,2,136,1.49,66.67
673,League of Legends,Valorant Champions 2025,ASIA,Team Spirit,b1t,28988720,1537503,14,2023,3,1,190,1.5,33.33
674,Valorant,BLAST Premier World Final 2025,NA,Paper Rex,Aspas,3902888,869186,14,2025,3,2,75,1.33,66.67
675,Dota 2,LoL Worlds 2025,NA,Sentinels,Ana,9871070,4547095,7,2025,6,5,278,1.2,83.33
676,PUBG Mobile,PUBG Mobile World Cup 2024,NA,Astralis,NiKo,3012799,1892496,10,2025,6,5,164,1.55,83.33
677,League of Legends,LoL Worlds 2024,EU,Paper Rex,NiKo,1613691,4605846,9,2025,7,1,52,1.25,14.29
678,Fortnite,LoL Worlds 2024,ASIA,Cloud9,ZywOo,27105620,439693,5,2025,6,2,291,1.6,33.33
679,Valorant,The International 2025,SA,G2 Esports,Nisha,37438984,4344100,4,2025,6,1,197,1.17,16.67
680,Valorant,Valorant Champions 2024,ASIA,100 Thieves,Derke,12893414,1589672,5,2025,4,3,224,1.01,75
681,Valorant,BLAST Premier World Final 2024,MENA,T1,NiKo,35519068,3534223,10,2023,3,1,52,1.42,33.33
682,League of Legends,Valorant Champions 2025,MENA,FaZe Clan,TenZ,10358855,2045443,12,2025,6,2,93,1.27,33.33
683,Fortnite,BLAST Premier World Final 2025,ASIA,Sentinels,Faker,15689500,1949412,12,2024,6,2,75,1.06,33.33
684,PUBG Mobile,PUBG Mobile World Cup 2025,OCE,Natus Vincere,ZywOo,37423007,2332392,12,2025,7,4,206,1.16,57.14
685,Fortnite,Valorant Champions 2024,ASIA,Natus Vincere,TenZ,31780325,2278446,12,2023,5,3,144,0.96,60
686,Dota 2,Valorant Champions 2025,SA,Team Liquid,Faker,34301801,260089,13,2025,7,4,287,0.86,57.14
687,Dota 2,PUBG Mobile World Cup 2024,OCE,OG,Faker,17987403,595327,9,2024,4,2,105,1.35,50
688,Valorant,Fortnite FNCS Global Championship 2024,OCE,T1,NiKo,11458784,1938511,4,2025,5,1,228,1.18,20
689,Fortnite,Valorant Champions 2024,NA,Vitality,Derke,38084369,4304684,9,2024,3,2,280,1,66.67
690,Dota 2,Valorant Champions 2024,EU,Cloud9,b1t,20868597,3117235,4,2024,5,5,198,1.33,100
691,League of Legends,LoL Worlds 2025,SA,Team Spirit,b1t,2942385,3692124,5,2023,5,2,144,1,40
692,Valorant,PUBG Mobile World Cup 2025,ASIA,Team Liquid,Keria,17217063,2093789,11,2024,7,3,249,1.26,42.86
693,Fortnite,Valorant Champions 2025,SA,FaZe Clan,Nisha,28611045,3989888,5,2024,5,4,275,1.34,80
694,PUBG Mobile,The International 2024,MENA,Cloud9,s1mple,14430710,3172085,5,2025,7,5,297,1.56,71.43
695,Fortnite,BLAST Premier World Final 2025,OCE,Fnatic,Derke,14219047,234279,12,2024,6,6,133,1.49,100
696,Valorant,LoL Worlds 2024,NA,T1,Sh1ro,31039847,1689665,9,2024,4,2,148,1.51,50
697,League of Legends,LoL Worlds 2024,OCE,Sentinels,Boombl4,34122180,2740889,6,2025,4,4,59,1.57,100
698,Fortnite,The International 2024,OCE,Evil Geniuses,Faker,38179508,4628477,13,2023,5,4,291,1.16,80
699,PUBG Mobile,BLAST Premier World Final 2025,MENA,Astralis,s1mple,32444884,4489148,11,2025,5,2,208,0.87,40
700,Counter-Strike 2,BLAST Premier World Final 2025,ASIA,Natus Vincere,TenZ,25527103,4311026,5,2025,5,3,299,1.37,60
701,Valorant,Valorant Champions 2025,OCE,Astralis,Ana,5413511,3575998,13,2024,7,6,152,0.88,85.71
702,Counter-Strike 2,Fortnite FNCS Global Championship 2025,SA,G2 Esports,NiKo,39383742,1572351,8,2024,7,4,276,0.91,57.14
703,League of Legends,PUBG Mobile World Cup 2025,MENA,G2 Esports,Derke,34212358,2085113,7,2024,6,6,129,0.97,100
704,Fortnite,Valorant Champions 2025,OCE,Team Liquid,Leaf,10615449,2622083,6,2025,6,2,288,1.47,33.33
705,Valorant,BLAST Premier World Final 2024,OCE,Team Spirit,Leaf,12507799,530232,14,2023,5,3,62,1.19,60
706,Valorant,LoL Worlds 2024,OCE,FaZe Clan,Keria,30095223,3940564,14,2023,7,3,66,1,42.86
707,PUBG Mobile,BLAST Premier World Final 2025,MENA,Team Spirit,Leaf,30829799,4596235,9,2023,7,1,235,1.17,14.29
708,Valorant,LoL Worlds 2025,MENA,Paper Rex,Faker,21802681,2219358,12,2024,6,2,63,0.89,33.33
709,Fortnite,PUBG Mobile World Cup 2024,EU,Cloud9,ZywOo,4454930,4019220,10,2024,7,6,170,1.03,85.71
710,PUBG Mobile,LoL Worlds 2025,NA,Astralis,NiKo,1365971,2240242,3,2025,6,1,183,0.96,16.67
711,League of Legends,Fortnite FNCS Global Championship 2024,SA,Team Spirit,b1t,31835101,3823016,14,2025,7,6,154,0.84,85.71
712,Fortnite,The International 2024,SA,100 Thieves,ZywOo,37347471,4541094,5,2025,6,1,262,1.04,16.67
713,Dota 2,BLAST Premier World Final 2025,ASIA,Sentinels,Leaf,38608992,982412,6,2025,7,5,186,1.55,71.43
714,Counter-Strike 2,BLAST Premier World Final 2024,MENA,Fnatic,Boombl4,12642760,1575890,9,2024,7,2,249,1.56,28.57
715,League of Legends,The International 2024,ASIA,Team Spirit,ZywOo,23666774,3449449,13,2024,3,2,230,1.44,66.67
716,Counter-Strike 2,BLAST Premier World Final 2024,MENA,Astralis,NiKo,28999952,4646031,3,2025,3,3,269,0.92,100
717,Dota 2,BLAST Premier World Final 2024,NA,Sentinels,ZywOo,35084260,1914522,10,2024,4,2,282,0.81,50
718,Valorant,The International 2025,MENA,100 Thieves,NiKo,1313239,982540,3,2025,6,3,251,1.03,50
719,Fortnite,Valorant Champions 2025,ASIA,Evil Geniuses,ZywOo,13641035,2066847,8,2023,4,3,182,1.3,75
720,Fortnite,BLAST Premier World Final 2025,ASIA,100 Thieves,Nisha,21147005,4425622,13,2024,7,3,171,1.14,42.86
721,Counter-Strike 2,Fortnite FNCS Global Championship 2024,SA,100 Thieves,ShowMaker,30655719,1038828,7,2025,5,3,117,1.5,60
722,Dota 2,LoL Worlds 2025,NA,Evil Geniuses,Nisha,1448124,4691185,12,2024,4,1,131,1.06,25
723,Fortnite,Fortnite FNCS Global Championship 2025,MENA,Team Liquid,s1mple,33340270,2007497,11,2023,4,2,142,1.46,50
724,Valorant,Valorant Champions 2024,OCE,T1,Nisha,38872278,4082185,11,2023,6,6,65,1.45,100
725,League of Legends,PUBG Mobile World Cup 2025,MENA,FaZe Clan,TenZ,22701031,3158673,14,2024,4,3,223,1.24,75
726,Fortnite,Fortnite FNCS Global Championship 2024,EU,T1,Nisha,39347117,901157,9,2024,3,2,118,1.51,66.67
727,Counter-Strike 2,LoL Worlds 2024,NA,Sentinels,TenZ,32026625,1960824,7,2025,7,7,233,1.06,100
728,PUBG Mobile,PUBG Mobile World Cup 2025,EU,T1,ZywOo,20758701,3310905,3,2024,5,3,126,1.17,60
729,League of Legends,PUBG Mobile World Cup 2024,ASIA,100 Thieves,Aspas,38347981,147626,8,2023,3,3,54,1.3,100
730,Fortnite,Fortnite FNCS Global Championship 2024,MENA,Astralis,Leaf,14037408,3544599,3,2023,4,3,178,0.84,75
731,Dota 2,The International 2025,NA,G2 Esports,Sh1ro,26376794,3455936,6,2023,7,4,296,1.45,57.14
732,Counter-Strike 2,LoL Worlds 2025,ASIA,Paper Rex,Faker,2983661,1000718,11,2025,6,1,195,1.48,16.67
733,Fortnite,LoL Worlds 2025,NA,G2 Esports,Nisha,35395051,4165299,3,2025,4,4,133,1.29,100
734,Dota 2,LoL Worlds 2024,OCE,T1,Leaf,17757276,103157,12,2024,3,2,89,1.43,66.67
735,Counter-Strike 2,PUBG Mobile World Cup 2024,ASIA,100 Thieves,Derke,27306193,3276879,7,2025,7,7,118,1.42,100
736,Fortnite,Valorant Champions 2024,SA,Sentinels,Aspas,14487290,695615,12,2025,4,1,133,1.46,25
737,League of Legends,PUBG Mobile World Cup 2025,SA,Team Liquid,ShowMaker,5342495,261396,9,2023,6,3,131,1.46,50
738,Dota 2,BLAST Premier World Final 2024,SA,Evil Geniuses,Boombl4,27865018,2897439,11,2025,5,4,167,1.45,80
739,Valorant,The International 2024,NA,Evil Geniuses,Sh1ro,22142908,772326,11,2023,5,3,96,1.59,60
740,PUBG Mobile,The International 2025,MENA,Cloud9,Leaf,12358425,4100675,3,2023,7,6,205,1.53,85.71
741,Dota 2,The International 2024,MENA,Evil Geniuses,Ana,3692470,2936666,3,2024,6,5,183,1.26,83.33
742,League of Legends,BLAST Premier World Final 2024,ASIA,FaZe Clan,Aspas,4608190,3463351,12,2024,4,3,81,1.37,75
743,Counter-Strike 2,BLAST Premier World Final 2025,EU,Fnatic,Faker,35924994,152194,11,2024,4,2,60,0.87,50
744,League of Legends,BLAST Premier World Final 2025,ASIA,T1,NiKo,24316199,602319,6,2024,4,1,220,1.09,25
745,League of Legends,Fortnite FNCS Global Championship 2025,NA,Fnatic,s1mple,35074305,786117,8,2023,6,2,213,1.5,33.33
746,PUBG Mobile,The International 2025,EU,FaZe Clan,ShowMaker,27846548,2916668,14,2025,7,1,172,0.82,14.29
747,Dota 2,LoL Worlds 2025,OCE,T1,NiKo,3195977,333622,14,2023,7,4,107,1.37,57.14
748,Dota 2,BLAST Premier World Final 2024,OCE,Cloud9,Nisha,2188572,768971,11,2023,3,1,238,1.15,33.33
749,Fortnite,The International 2025,NA,Vitality,ZywOo,8545000,4041469,4,2025,4,2,105,1.51,50
750,Dota 2,Valorant Champions 2024,MENA,OG,Keria,30528299,2964896,10,2024,5,1,232,1.38,20
751,League of Legends,Valorant Champions 2025,EU,Paper Rex,s1mple,12293278,3034464,11,2024,6,4,201,1.44,66.67
752,Fortnite,BLAST Premier World Final 2025,MENA,Team Liquid,Sh1ro,5452439,3531872,4,2024,7,1,208,0.9,14.29
753,Valorant,Valorant Champions 2025,ASIA,Cloud9,NiKo,17091889,2090703,8,2025,5,4,187,0.9,80
754,Fortnite,LoL Worlds 2024,MENA,Fnatic,Boombl4,8236654,4852509,4,2024,6,2,222,1.29,33.33
755,PUBG Mobile,PUBG Mobile World Cup 2024,NA,T1,Aspas,1546683,4282293,3,2024,7,2,257,0.96,28.57
756,League of Legends,Valorant Champions 2024,NA,Team Liquid,Boombl4,6212178,1225300,13,2024,7,7,282,0.82,100
757,Valorant,Fortnite FNCS Global Championship 2024,SA,FaZe Clan,TenZ,12511062,1661030,11,2025,4,2,113,0.85,50
758,Dota 2,Valorant Champions 2024,OCE,Team Liquid,Boombl4,21489925,2276330,12,2023,3,3,232,1.18,100
759,Valorant,BLAST Premier World Final 2024,EU,Evil Geniuses,s1mple,25782049,558552,7,2024,4,1,181,1.08,25
760,Dota 2,The International 2025,OCE,Vitality,Faker,18262708,1990387,9,2025,7,1,210,1.46,14.29
761,PUBG Mobile,PUBG Mobile World Cup 2024,OCE,Paper Rex,b1t,29933360,2955445,6,2025,6,5,217,0.88,83.33
762,Valorant,LoL Worlds 2024,ASIA,Natus Vincere,Boombl4,3311951,2038140,5,2024,3,3,298,1.48,100
763,Fortnite,Fortnite FNCS Global Championship 2024,NA,Astralis,Faker,13270237,887812,9,2025,6,3,292,1.29,50
764,Counter-Strike 2,Valorant Champions 2025,EU,Astralis,Keria,36737459,2910918,6,2024,5,3,183,1.04,60
765,Fortnite,LoL Worlds 2025,NA,Paper Rex,Aspas,16167208,3242760,7,2023,5,1,80,1.17,20
766,Counter-Strike 2,PUBG Mobile World Cup 2025,MENA,T1,Sh1ro,12941297,2580982,3,2023,6,2,111,1.59,33.33
767,Counter-Strike 2,LoL Worlds 2024,SA,Paper Rex,Aspas,39065045,1221556,13,2025,3,2,236,1.01,66.67
768,League of Legends,Fortnite FNCS Global Championship 2024,SA,Natus Vincere,Derke,14331848,1137994,13,2024,7,3,170,1.12,42.86
769,Fortnite,Valorant Champions 2025,OCE,Evil Geniuses,ZywOo,12862287,1005375,11,2025,3,1,87,1.24,33.33
770,Counter-Strike 2,BLAST Premier World Final 2024,EU,Evil Geniuses,Leaf,32810003,2344485,11,2025,4,1,169,1.14,25
771,Valorant,PUBG Mobile World Cup 2025,ASIA,Natus Vincere,Ana,767773,4120796,4,2025,4,1,237,1.48,25
772,PUBG Mobile,PUBG Mobile World Cup 2024,NA,T1,s1mple,24840140,4131400,9,2023,7,3,59,1.46,42.86
773,Counter-Strike 2,Valorant Champions 2025,EU,Sentinels,Nisha,34671642,2102655,10,2024,3,3,263,1.49,100
774,Fortnite,BLAST Premier World Final 2025,ASIA,G2 Esports,Derke,9811224,523854,13,2024,7,1,276,1.06,14.29
775,Valorant,Valorant Champions 2025,EU,Cloud9,ShowMaker,4866939,4717943,12,2023,6,3,250,0.88,50
776,Fortnite,LoL Worlds 2025,NA,Evil Geniuses,NiKo,11581961,1659002,3,2024,7,4,166,1.51,57.14
777,Fortnite,LoL Worlds 2024,EU,Natus Vincere,Keria,37779455,4941036,8,2024,6,2,223,1.04,33.33
778,Dota 2,Valorant Champions 2024,ASIA,OG,ShowMaker,31254090,425480,3,2023,7,2,203,1.05,28.57
779,Dota 2,PUBG Mobile World Cup 2024,MENA,Team Liquid,Sh1ro,19977376,356201,10,2025,3,2,128,1.27,66.67
780,Counter-Strike 2,BLAST Premier World Final 2025,MENA,Cloud9,Sh1ro,15876326,2584646,5,2024,3,3,53,1.27,100
781,Counter-Strike 2,The International 2025,MENA,Evil Geniuses,Nisha,30194535,2385959,8,2024,4,2,187,1.36,50
782,Fortnite,LoL Worlds 2025,SA,Cloud9,Sh1ro,11518348,1387827,11,2024,6,1,217,1.49,16.67
783,Valorant,Valorant Champions 2025,NA,Cloud9,Boombl4,8904067,2072029,11,2025,5,1,195,1.5,20
784,League of Legends,Fortnite FNCS Global Championship 2024,OCE,Paper Rex,Keria,28001654,2214094,11,2024,4,1,94,1.07,25
785,Counter-Strike 2,PUBG Mobile World Cup 2025,OCE,Evil Geniuses,Keria,33530157,1713535,9,2024,6,4,117,1.28,66.67
786,Valorant,The International 2025,NA,Sentinels,Nisha,35663665,4563410,13,2025,4,4,248,0.96,100
787,PUBG Mobile,BLAST Premier World Final 2024,ASIA,Vitality,Leaf,17404543,2490357,14,2024,5,4,256,1.18,80
788,Fortnite,Valorant Champions 2025,ASIA,Team Spirit,b1t,33561840,1819269,13,2024,3,3,267,1.46,100
789,Dota 2,Valorant Champions 2024,EU,Sentinels,ZywOo,13840338,3130265,5,2025,7,5,77,1.57,71.43
790,Dota 2,Valorant Champions 2024,SA,G2 Esports,Aspas,1792231,3780556,8,2025,4,3,190,1.04,75
791,Fortnite,LoL Worlds 2025,MENA,Team Liquid,NiKo,34457587,3620751,11,2024,4,1,224,0.93,25
792,Valorant,LoL Worlds 2025,MENA,Evil Geniuses,Derke,23574900,2272330,4,2025,5,5,199,1.03,100
793,Fortnite,The International 2025,EU,Sentinels,Faker,39960833,4036050,10,2025,3,2,81,0.99,66.67
794,Fortnite,BLAST Premier World Final 2024,EU,Paper Rex,Boombl4,32554348,3889387,11,2025,6,4,134,1.53,66.67
795,Fortnite,PUBG Mobile World Cup 2025,OCE,Astralis,NiKo,20073356,3942188,11,2024,3,3,105,0.89,100
796,PUBG Mobile,The International 2024,MENA,FaZe Clan,Nisha,33298313,265184,6,2023,7,2,253,1.24,28.57
797,Counter-Strike 2,The International 2024,NA,Vitality,s1mple,14315823,2372796,12,2023,5,1,60,1.07,20
798,Fortnite,LoL Worlds 2025,ASIA,Cloud9,ZywOo,13325234,4190206,11,2025,5,2,102,1.01,40
799,Fortnite,PUBG Mobile World Cup 2025,NA,Evil Geniuses,Derke,34822613,2702366,13,2024,3,2,65,1.55,66.67
800,PUBG Mobile,The International 2025,EU,Sentinels,Nisha,28704581,3582313,8,2024,4,2,229,1.36,50
801,PUBG Mobile,PUBG Mobile World Cup 2025,MENA,100 Thieves,NiKo,5897047,4323833,4,2023,6,1,261,1.42,16.67
802,PUBG Mobile,LoL Worlds 2025,OCE,T1,Leaf,23133648,2325516,9,2024,7,6,144,1.04,85.71
803,Dota 2,Valorant Champions 2024,EU,Fnatic,Aspas,10896449,4235934,12,2023,6,3,257,1.45,50
804,Counter-Strike 2,Fortnite FNCS Global Championship 2024,OCE,Vitality,Boombl4,36446811,1054188,6,2025,6,2,121,1.08,33.33
805,Counter-Strike 2,The International 2024,SA,100 Thieves,Boombl4,33814440,3781361,5,2023,4,3,192,1.15,75
806,League of Legends,Valorant Champions 2024,NA,Sentinels,ZywOo,26029503,1766565,6,2024,6,3,106,1.46,50
807,Fortnite,The International 2024,ASIA,Team Liquid,Ana,2007700,2239132,9,2023,5,5,300,0.94,100
808,Counter-Strike 2,Fortnite FNCS Global Championship 2024,MENA,Vitality,ShowMaker,1094964,551779,7,2023,3,3,155,1.55,100
809,Dota 2,Fortnite FNCS Global Championship 2025,SA,Fnatic,NiKo,875093,3432098,3,2025,5,3,81,1.45,60
810,Dota 2,LoL Worlds 2025,SA,100 Thieves,Boombl4,19720004,759853,5,2023,7,5,56,1.22,71.43
811,Valorant,PUBG Mobile World Cup 2024,OCE,Natus Vincere,TenZ,24801769,888642,11,2023,7,7,187,1.34,100
812,PUBG Mobile,PUBG Mobile World Cup 2024,MENA,FaZe Clan,Boombl4,10992682,2012676,12,2024,4,2,87,1.1,50
813,PUBG Mobile,LoL Worlds 2025,SA,Team Liquid,Aspas,32028389,2383786,6,2023,6,5,154,1.26,83.33
814,Counter-Strike 2,The International 2024,SA,Team Liquid,Faker,35145206,1754372,13,2024,4,3,98,1.17,75
815,Valorant,LoL Worlds 2024,SA,Team Spirit,s1mple,23392100,2647317,3,2023,5,5,108,1,100
816,Valorant,BLAST Premier World Final 2024,NA,Evil Geniuses,ShowMaker,13638697,1986139,11,2025,7,5,208,1.28,71.43
817,Counter-Strike 2,BLAST Premier World Final 2025,ASIA,Team Spirit,Aspas,24926248,4013040,6,2024,6,3,120,1.48,50
818,PUBG Mobile,Fortnite FNCS Global Championship 2025,MENA,Fnatic,Aspas,1603952,1584395,14,2025,4,2,298,1.48,50
819,PUBG Mobile,Valorant Champions 2024,NA,Vitality,ZywOo,9246447,2752548,14,2024,6,2,247,0.86,33.33
820,Valorant,BLAST Premier World Final 2025,OCE,Cloud9,NiKo,39650239,927581,7,2023,5,3,238,1.55,60
821,PUBG Mobile,PUBG Mobile World Cup 2025,SA,Team Spirit,Faker,14563526,1367545,8,2025,7,7,238,1.02,100
822,Fortnite,PUBG Mobile World Cup 2024,MENA,OG,Ana,10722389,4164777,6,2024,5,5,138,1.14,100
823,PUBG Mobile,Valorant Champions 2024,ASIA,Astralis,Boombl4,35631759,2961771,6,2023,5,3,156,0.95,60
824,League of Legends,Valorant Champions 2025,ASIA,Team Liquid,TenZ,33651872,4912477,5,2025,4,4,137,1.04,100
825,Dota 2,PUBG Mobile World Cup 2024,NA,Sentinels,ShowMaker,6543274,2631555,10,2024,5,5,63,1.51,100
826,Valorant,Valorant Champions 2024,OCE,Paper Rex,TenZ,15946026,2987801,10,2023,5,4,170,0.84,80
827,Dota 2,PUBG Mobile World Cup 2025,OCE,T1,Faker,1879834,1362341,4,2024,4,1,287,1.31,25
828,Fortnite,The International 2025,SA,G2 Esports,Ana,8057032,4244394,4,2025,5,2,96,1.45,40
829,Counter-Strike 2,Fortnite FNCS Global Championship 2025,OCE,Natus Vincere,NiKo,5032543,459800,10,2023,5,5,261,1.15,100
830,Valorant,The International 2025,ASIA,Team Spirit,ZywOo,19798415,1996705,14,2025,5,4,69,1.26,80
831,PUBG Mobile,PUBG Mobile World Cup 2025,NA,Paper Rex,Keria,12136503,976029,6,2025,5,5,81,1.13,100
832,League of Legends,Valorant Champions 2025,OCE,Cloud9,Sh1ro,32565833,3557111,14,2024,3,1,179,1.53,33.33
833,Counter-Strike 2,BLAST Premier World Final 2024,ASIA,100 Thieves,Boombl4,3387915,211769,12,2024,3,3,143,1.46,100
834,Valorant,PUBG Mobile World Cup 2025,NA,Evil Geniuses,Sh1ro,20495014,2675299,3,2025,6,4,105,1.44,66.67
835,Counter-Strike 2,The International 2024,MENA,Vitality,ShowMaker,33443331,921238,8,2024,3,3,128,1.5,100
836,League of Legends,Valorant Champions 2025,SA,Cloud9,Leaf,21502402,460126,10,2025,5,1,69,1.25,20
837,Fortnite,BLAST Premier World Final 2025,ASIA,FaZe Clan,b1t,38390946,3931490,14,2025,5,1,110,1.41,20
838,Valorant,BLAST Premier World Final 2024,ASIA,Evil Geniuses,Nisha,39164086,4401833,7,2025,6,1,87,0.8,16.67
839,Dota 2,Fortnite FNCS Global Championship 2024,ASIA,Team Liquid,Sh1ro,29351505,1297096,8,2023,4,4,63,1.55,100
840,Dota 2,LoL Worlds 2024,ASIA,Team Liquid,Boombl4,9319671,1137426,10,2024,5,1,179,1.29,20
841,Fortnite,PUBG Mobile World Cup 2024,MENA,Natus Vincere,Aspas,8790853,3747441,4,2023,6,4,174,0.81,66.67
842,League of Legends,BLAST Premier World Final 2025,MENA,Team Liquid,Faker,20020254,4554868,11,2023,4,4,162,1,100
843,League of Legends,LoL Worlds 2024,ASIA,Natus Vincere,Sh1ro,21372628,1930132,7,2024,6,6,60,1.36,100
844,Counter-Strike 2,Valorant Champions 2025,SA,Vitality,s1mple,10093287,1272945,3,2025,5,5,83,1.39,100
845,Valorant,BLAST Premier World Final 2025,NA,T1,Ana,27139114,3505060,5,2023,3,1,300,0.89,33.33
846,PUBG Mobile,LoL Worlds 2024,NA,FaZe Clan,Leaf,24691095,4901301,13,2023,7,5,82,1.48,71.43
847,Valorant,Valorant Champions 2025,MENA,Natus Vincere,Aspas,38105722,3793972,9,2024,3,3,121,1.53,100
848,Fortnite,Fortnite FNCS Global Championship 2025,NA,Team Spirit,Boombl4,10553215,4366790,13,2024,4,1,95,0.95,25
849,Counter-Strike 2,PUBG Mobile World Cup 2025,OCE,Sentinels,Sh1ro,3268208,892889,8,2023,7,6,143,1.38,85.71
850,PUBG Mobile,PUBG Mobile World Cup 2024,SA,G2 Esports,Leaf,21267549,371014,3,2024,6,4,295,1.11,66.67
851,League of Legends,LoL Worlds 2024,EU,Team Spirit,Aspas,35392147,4667024,12,2023,3,2,115,0.9,66.67
852,Fortnite,LoL Worlds 2024,MENA,Evil Geniuses,Boombl4,23622366,1002282,12,2023,6,5,81,1.05,83.33
853,League of Legends,Fortnite FNCS Global Championship 2024,EU,Evil Geniuses,NiKo,6413805,1800178,8,2023,5,3,210,0.82,60
854,Counter-Strike 2,PUBG Mobile World Cup 2025,OCE,Natus Vincere,Aspas,10030276,3783389,5,2023,3,1,131,1.19,33.33
855,Fortnite,The International 2024,OCE,Paper Rex,Leaf,18925742,191680,7,2025,5,1,169,1.05,20
856,Dota 2,BLAST Premier World Final 2025,EU,Cloud9,Ana,21198318,2220141,3,2025,6,6,196,1.24,100
857,Fortnite,LoL Worlds 2025,EU,Natus Vincere,Leaf,29438903,3298543,3,2024,4,4,238,1.56,100
858,Fortnite,LoL Worlds 2025,NA,Vitality,b1t,13036545,751770,11,2025,5,5,148,1.46,100
859,Valorant,LoL Worlds 2024,MENA,Astralis,TenZ,21231415,4676855,13,2025,7,6,117,1.47,85.71
860,League of Legends,Valorant Champions 2024,EU,Natus Vincere,s1mple,2070440,2168132,11,2024,6,2,130,1.02,33.33
861,Valorant,Fortnite FNCS Global Championship 2025,ASIA,FaZe Clan,s1mple,2337831,2991342,7,2024,6,6,148,1.57,100
862,Counter-Strike 2,Valorant Champions 2025,NA,G2 Esports,Boombl4,27293298,144154,4,2025,4,4,121,0.95,100
863,Fortnite,PUBG Mobile World Cup 2025,OCE,Vitality,Ana,33128507,3497134,10,2025,3,3,245,1.37,100
864,Fortnite,Fortnite FNCS Global Championship 2024,EU,T1,ZywOo,22347659,1762701,10,2024,6,3,144,1.02,50
865,Counter-Strike 2,LoL Worlds 2025,SA,Vitality,s1mple,22277148,1375711,10,2023,5,1,111,1.58,20
866,Counter-Strike 2,PUBG Mobile World Cup 2024,MENA,Sentinels,Faker,17364511,3188356,3,2024,4,3,289,1.42,75
867,PUBG Mobile,The International 2025,MENA,Cloud9,Keria,12370540,4135347,11,2025,7,5,208,0.87,71.43
868,Counter-Strike 2,The International 2024,SA,Team Liquid,Faker,26504823,2930446,12,2025,5,5,66,0.8,100
869,League of Legends,LoL Worlds 2025,MENA,FaZe Clan,Faker,18604193,843733,3,2023,6,1,257,1.37,16.67
870,League of Legends,Valorant Champions 2024,NA,Vitality,Sh1ro,8160478,4888573,7,2024,6,4,208,1.57,66.67
871,League of Legends,Fortnite FNCS Global Championship 2024,ASIA,G2 Esports,NiKo,32715653,3221938,4,2025,5,3,175,1.48,60
872,Counter-Strike 2,BLAST Premier World Final 2025,NA,FaZe Clan,Leaf,29305867,4927536,8,2023,6,1,135,1.43,16.67
873,PUBG Mobile,PUBG Mobile World Cup 2024,ASIA,Team Spirit,Leaf,38636090,2566091,6,2025,3,2,149,1.45,66.67
874,Valorant,BLAST Premier World Final 2024,NA,Vitality,Derke,38546016,1265884,4,2024,5,5,131,1.07,100
875,League of Legends,Fortnite FNCS Global Championship 2024,ASIA,Team Liquid,Faker,13374317,902361,6,2024,6,6,215,1.23,100
876,League of Legends,Fortnite FNCS Global Championship 2024,SA,Vitality,Leaf,13856744,2209436,10,2025,3,3,95,0.92,100
877,PUBG Mobile,Fortnite FNCS Global Championship 2025,MENA,OG,Boombl4,31035278,2725642,7,2023,6,6,170,0.87,100
878,League of Legends,The International 2024,SA,100 Thieves,Aspas,7390324,956506,12,2024,6,1,85,0.95,16.67
879,League of Legends,Fortnite FNCS Global Championship 2024,ASIA,Sentinels,Ana,9201325,1283104,10,2025,6,5,196,1.26,83.33
880,PUBG Mobile,LoL Worlds 2024,OCE,Sentinels,Keria,15436292,4118003,6,2025,4,4,101,1.21,100
881,Dota 2,PUBG Mobile World Cup 2025,OCE,Natus Vincere,Leaf,33251878,4716923,7,2023,4,2,143,1.11,50
882,League of Legends,BLAST Premier World Final 2025,SA,Cloud9,TenZ,4866239,1650954,5,2024,7,7,249,1.17,100
883,Valorant,LoL Worlds 2025,EU,T1,Derke,2751955,2269113,10,2024,4,1,113,1.23,25
884,Fortnite,Fortnite FNCS Global Championship 2024,NA,Paper Rex,NiKo,7411343,3938873,7,2025,5,2,248,0.99,40
885,Dota 2,The International 2025,OCE,Paper Rex,Leaf,5611871,4346804,8,2023,5,1,214,1.02,20
886,Fortnite,PUBG Mobile World Cup 2024,SA,Evil Geniuses,b1t,8816802,1079280,14,2024,4,1,138,1.14,25
887,Valorant,The International 2024,MENA,Cloud9,Boombl4,3691883,1328505,13,2025,7,2,231,1.38,28.57
888,Dota 2,Valorant Champions 2024,EU,Paper Rex,s1mple,33127587,2481931,14,2024,3,3,101,1.58,100
889,League of Legends,Fortnite FNCS Global Championship 2024,EU,100 Thieves,ShowMaker,27896966,1528023,11,2025,6,1,78,1.2,16.67
